director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb,genres_str
Joachim Rønning Espen Sandberg,Johnny Depp,Javier Bardem,Geoffrey Rush,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 14, 'name': 'Fantasy'}, {'id': 35, 'name': 'Comedy'}]",pirates of the caribbean: dead men tell no tales,Johnny Depp Javier Bardem Geoffrey Rush Joachim Rønning Espen Sandberg Adventure Action Fantasy Comedy,Adventure Action Fantasy Comedy
Zack Snyder,Ben Affleck,Henry Cavill,Gal Gadot,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}]",justice league,Ben Affleck Henry Cavill Gal Gadot Zack Snyder Action Adventure Fantasy Science Fiction,Action Adventure Fantasy Science Fiction
Taika Waititi,Chris Hemsworth,Tom Hiddleston,Cate Blanchett,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}]",thor: ragnarok,Chris Hemsworth Tom Hiddleston Cate Blanchett Taika Waititi Action Adventure Fantasy Science Fiction,Action Adventure Fantasy Science Fiction
James Gunn,Chris Pratt,Zoe Saldana,Dave Bautista,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 878, 'name': 'Science Fiction'}]",guardians of the galaxy vol. 2,Chris Pratt Zoe Saldana Dave Bautista James Gunn Action Adventure Comedy Science Fiction,Action Adventure Comedy Science Fiction
Sean McNamara,Pierce Brosnan,William Hurt,Benjamin Walker,"[{'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]",the king's daughter,Pierce Brosnan William Hurt Benjamin Walker Sean McNamara Fantasy Action Adventure,Fantasy Action Adventure
Adam Spinks,Ben Loyd-Holmes,Sarah Mac,Neil Newbon,"[{'id': 53, 'name': 'Thriller'}, {'id': 12, 'name': 'Adventure'}]",extinction: nature has evolved,Ben Loyd-Holmes Sarah Mac Neil Newbon Adam Spinks Thriller Adventure,Thriller Adventure
Rucha Humnabadkar,Ali Fazal,Melanie Chandra,Omi Vaidya,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",for here or to go?,Ali Fazal Melanie Chandra Omi Vaidya Rucha Humnabadkar Drama Comedy,Drama Comedy
Sarik Andreasyan,Anton Pampushnyy,Sanzhar Madiyev,Sebastien Sisak,"[{'id': 28, 'name': 'Action'}, {'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}]",guardians,Anton Pampushnyy Sanzhar Madiyev Sebastien Sisak Sarik Andreasyan Action Fantasy Science Fiction,Action Fantasy Science Fiction
Peter Hutchings,Victoria Justice,Eden Sher,Ashley Rickards,"[{'id': 35, 'name': 'Comedy'}]",the outcasts,Victoria Justice Eden Sher Ashley Rickards Peter Hutchings Comedy,Comedy
Patty Jenkins,Gal Gadot,Chris Pine,Robin Wright,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}]",wonder woman,Gal Gadot Chris Pine Robin Wright Patty Jenkins Action Adventure Fantasy,Action Adventure Fantasy
